City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
katsuura,35.13,140.3,61.0,55,20,17.22,JP,04-25-20
punta arenas,-53.15,-70.92,39.0,64,51,11.99,CL,04-25-20
saint-philippe,-21.36,55.77,77.0,83,20,6.17,RE,04-25-20
broken hill,-31.95,141.43,73.4,28,90,12.75,AU,04-25-20
gorontalo,0.54,123.06,76.53,87,97,2.59,ID,04-25-20
hithadhoo,-0.6,73.08,84.7,72,88,8.66,MV,04-25-20
ushuaia,-54.8,-68.3,39.2,64,40,4.38,AR,04-25-20
alugan,12.22,125.48,81.95,81,47,13.22,PH,04-25-20
fairbanks,64.84,-147.72,27.0,45,1,11.41,US,04-25-20
sokoni,-6.43,39.55,82.4,83,75,5.82,TZ,04-25-20
rikitea,-23.12,-134.97,76.03,79,13,13.69,PF,04-25-20
albany,42.6,-73.97,62.01,22,40,5.82,US,04-25-20
new norfolk,-42.78,147.06,59.0,72,98,1.01,AU,04-25-20
margate,51.38,1.39,54.0,72,18,4.0,GB,04-25-20
amahai,-3.33,128.92,80.13,80,76,2.68,ID,04-25-20
srednekolymsk,67.45,153.68,24.76,97,100,1.12,RU,04-25-20
auki,-8.77,160.7,80.98,77,37,3.85,SB,04-25-20
zelenoborskiy,66.84,32.36,30.65,94,94,11.05,RU,04-25-20
rocha,-34.48,-54.33,70.75,80,97,11.54,UY,04-25-20
bambous virieux,-20.34,57.76,77.0,94,75,4.81,MU,04-25-20
busselton,-33.65,115.33,57.99,65,0,8.68,AU,04-25-20
moanda,-1.56,13.22,87.8,74,20,3.36,GA,04-25-20
lompoc,34.64,-120.46,64.4,72,1,3.36,US,04-25-20
dikson,73.51,80.55,18.01,98,98,10.71,RU,04-25-20
bethel,41.37,-73.41,64.0,50,90,5.82,US,04-25-20
hermanus,-34.42,19.23,72.0,57,0,14.97,ZA,04-25-20
atuona,-9.8,-139.03,81.61,81,20,19.06,PF,04-25-20
saint anthony,45.02,-93.22,68.0,42,1,4.32,US,04-25-20
itarema,-2.92,-39.92,82.33,82,98,5.19,BR,04-25-20
arraial do cabo,-22.97,-42.03,82.4,65,20,11.41,BR,04-25-20
ponta do sol,32.67,-17.1,68.0,56,20,5.82,PT,04-25-20
henties bay,-22.12,14.28,59.0,93,13,4.0,NA,04-25-20
beringovskiy,63.05,179.32,19.33,97,98,6.4,RU,04-25-20
bengkulu,-3.8,102.27,78.76,81,99,3.85,ID,04-25-20
lebu,-37.62,-73.65,58.71,85,100,15.93,CL,04-25-20
sakakah,29.97,40.21,78.8,22,0,13.87,SA,04-25-20
kodiak,57.79,-152.41,42.8,87,90,14.99,US,04-25-20
los llanos de aridane,28.66,-17.92,68.0,64,75,10.29,ES,04-25-20
barrow,71.29,-156.79,-2.2,77,1,11.41,US,04-25-20
baijiantan,45.63,85.18,74.7,16,30,6.73,CN,04-25-20
damaturu,11.75,11.96,96.15,15,92,6.62,NG,04-25-20
saint george,37.1,-113.58,73.0,36,1,1.52,US,04-25-20
ribeira grande,38.52,-28.7,66.2,55,40,14.99,PT,04-25-20
carnarvon,-24.87,113.63,76.6,59,91,14.5,AU,04-25-20
bilma,18.69,12.92,96.37,8,0,10.16,NE,04-25-20
mossendjo,-2.95,12.73,71.44,87,100,3.71,CG,04-25-20
cherskiy,68.75,161.3,11.39,95,84,5.46,RU,04-25-20
grindavik,63.84,-22.43,51.8,53,20,10.29,IS,04-25-20
upernavik,72.79,-56.15,34.52,85,10,2.24,GL,04-25-20
olafsvik,64.89,-23.71,40.59,77,32,16.78,IS,04-25-20
naspur,18.83,79.45,90.19,40,66,12.33,IN,04-25-20
cidreira,-30.18,-50.21,78.89,52,40,2.59,BR,04-25-20
drakino,51.14,39.4,53.2,76,100,10.45,RU,04-25-20
oussouye,12.48,-16.55,100.4,69,53,6.93,SN,04-25-20
mount gambier,-37.83,140.77,59.0,93,95,11.41,AU,04-25-20
bluff,-46.6,168.33,50.0,69,85,8.99,NZ,04-25-20
vaini,-21.2,-175.2,75.2,94,75,8.05,TO,04-25-20
ketchikan,55.34,-131.65,46.4,87,90,23.04,US,04-25-20
khorixas,-20.37,14.97,71.33,37,1,10.11,NA,04-25-20
georgetown,5.41,100.34,78.8,94,40,1.7,MY,04-25-20
tuktoyaktuk,69.45,-133.04,-2.2,84,90,5.82,CA,04-25-20
iquique,-20.22,-70.14,76.33,43,0,8.61,CL,04-25-20
northam,51.03,-4.22,59.0,82,68,5.01,GB,04-25-20
touros,-5.2,-35.46,84.2,70,75,8.05,BR,04-25-20
mahebourg,-20.41,57.7,77.0,94,75,4.9,MU,04-25-20
coihaique,-45.58,-72.07,45.41,70,98,3.87,CL,04-25-20
kargasok,59.06,80.86,38.07,72,35,7.4,RU,04-25-20
ugoofaaru,5.67,73.0,85.64,71,42,5.08,MV,04-25-20
thompson,55.74,-97.86,35.6,59,75,4.7,CA,04-25-20
kapiri mposhi,-13.97,28.68,62.29,53,9,3.96,ZM,04-25-20
mataura,-46.19,168.86,50.0,69,92,8.99,NZ,04-25-20
verdun,49.25,5.33,66.99,37,0,1.01,FR,04-25-20
chokurdakh,70.63,147.92,15.08,97,53,7.23,RU,04-25-20
mar del plata,-38.0,-57.56,66.0,88,75,11.41,AR,04-25-20
tura,25.52,90.22,67.89,78,3,2.62,IN,04-25-20
yellowknife,62.46,-114.35,12.0,72,90,12.75,CA,04-25-20
jamestown,42.1,-79.24,51.8,53,1,6.93,US,04-25-20
